"x""		""sin(x)",
0,0
0.017453,0.017452
0.034907,0.0349
0.05236,0.052336
0.069813,0.069757
0.087267,0.087156
0.10472,0.104529
0.122173,0.12187
0.139627,0.139173
0.15708,0.156435
0.174533,0.173649
0.191987,0.190809
0.20944,0.207912
0.226893,0.224952
0.244347,0.241922
0.2618,0.25882
0.279253,0.275638
0.296707,0.292372
0.31416,0.309018
0.331613,0.325569
0.349067,0.342021
0.36652,0.358369
0.383973,0.374607
0.401427,0.390732
0.41888,0.406738
0.436333,0.422619
0.453787,0.438372
0.47124,0.453991
0.488693,0.469473
0.506147,0.484811
0.5236,0.500001
0.541053,0.515039
0.558507,0.52992
0.57596,0.54464
0.593413,0.559194
0.610867,0.573578
0.62832,0.587786
0.645773,0.601816
0.663227,0.615663
0.68068,0.629322
0.698133,0.642789
0.715587,0.65606
0.73304,0.669132
0.750493,0.682
0.767947,0.69466
0.7854,0.707108
0.802853,0.719341
0.820307,0.731355
0.83776,0.743146
0.855213,0.754711
0.872667,0.766046
0.89012,0.777147
0.907573,0.788012
0.925027,0.798637
0.94248,0.809018
0.959933,0.819153
0.977387,0.829039
0.99484,0.838672
1.012293,0.848049
1.029747,0.857169
1.0472,0.866027
1.064653,0.874621
1.082107,0.882949
1.09956,0.891008
1.117013,0.898795
1.134467,0.906309
1.15192,0.913547
1.169373,0.920506
1.186827,0.927185
1.20428,0.933581
1.221733,0.939694
1.239187,0.94552
1.25664,0.951057
1.274093,0.956306
1.291547,0.961263
1.309,0.965927
1.326453,0.970296
1.343907,0.974371
1.36136,0.978148
1.378813,0.981628
1.396267,0.984808
1.41372,0.987689
1.431173,0.990269
1.448627,0.992547
1.46608,0.994522
1.483533,0.996195
1.500987,0.997564
1.51844,0.99863
1.535893,0.999391
1.553347,0.999848
1.5708,1
1.588253,0.999848
1.605707,0.999391
1.62316,0.998629
1.640613,0.997564
1.658067,0.996194
1.67552,0.994521
1.692973,0.992546
1.710427,0.990268
1.72788,0.987688
1.745333,0.984807
1.762787,0.981626
1.78024,0.978147
1.797693,0.974369
1.815147,0.970295
1.8326,0.965925
1.850053,0.961261
1.867507,0.956303
1.88496,0.951055
1.902413,0.945517
1.919867,0.939691
1.93732,0.933579
1.954773,0.927182
1.972227,0.920503
1.98968,0.913544
2.007133,0.906306
2.024587,0.898792
2.04204,0.891004
2.059493,0.882945
2.076947,0.874617
2.0944,0.866023
2.111853,0.857165
2.129307,0.848045
2.14676,0.838668
2.164213,0.829035
2.181667,0.819149
2.19912,0.809014
2.216573,0.798632
2.234027,0.788008
2.25148,0.777143
2.268933,0.766041
2.286387,0.754706
2.30384,0.743141
2.321293,0.73135
2.338747,0.719336
2.3562,0.707103
2.373653,0.694654
2.391107,0.681994
2.40856,0.669126
2.426013,0.656055
2.443467,0.642783
2.46092,0.629316
2.478373,0.615657
2.495827,0.60181
2.51328,0.58778
2.530733,0.573572
2.548187,0.559188
2.56564,0.544634
2.583093,0.529914
2.600547,0.515033
2.618,0.499995
2.635453,0.484804
2.652907,0.469466
2.67036,0.453985
2.687813,0.438365
2.705267,0.422613
2.72272,0.406731
2.740173,0.390725
2.757627,0.374601
2.77508,0.358362
2.792533,0.342014
2.809987,0.325562
2.82744,0.309011
2.844893,0.292365
2.862347,0.275631
2.8798,0.258813
2.897253,0.241915
2.914707,0.224944
2.93216,0.207905
2.949613,0.190802
2.967067,0.173641
2.98452,0.156428
3.001973,0.139166
3.019427,0.121862
3.03688,0.104521
3.054333,0.087149
3.071787,0.069749
3.08924,0.052329
3.106693,0.034892
3.124147,0.017445
3.1416,-0.000007
3.159053,-0.01746
3.176507,-0.034907
3.19396,-0.052343
3.211413,-0.069764
3.228867,-0.087163
3.24632,-0.104536
3.263773,-0.121877
3.281227,-0.139181
3.29868,-0.156442
3.316133,-0.173656
3.333587,-0.190817
3.35104,-0.207919
3.368493,-0.224959
3.385947,-0.24193
3.4034,-0.258827
3.420853,-0.275645
3.438307,-0.292379
3.45576,-0.309025
3.473213,-0.325576
3.490667,-0.342028
3.50812,-0.358376
3.525573,-0.374614
3.543027,-0.390739
3.56048,-0.406744
3.577933,-0.422626
3.595387,-0.438379
3.61284,-0.453998
3.630293,-0.469479
3.647747,-0.484817
3.6652,-0.500007
3.682653,-0.515045
3.700107,-0.529927
3.71756,-0.544646
3.735013,-0.5592
3.752467,-0.573584
3.76992,-0.587792
3.787373,-0.601822
3.804827,-0.615668
3.82228,-0.629327
3.839733,-0.642794
3.857187,-0.656066
3.87464,-0.669137
3.892093,-0.682005
3.909547,-0.694665
3.927,-0.707113
3.944453,-0.719346
3.961907,-0.73136
3.97936,-0.743151
3.996813,-0.754716
4.014267,-0.76605
4.03172,-0.777152
4.049173,-0.788017
4.066627,-0.798641
4.08408,-0.809023
4.101533,-0.819158
4.118987,-0.829043
4.13644,-0.838676
4.153893,-0.848053
4.171347,-0.857172
4.1888,-0.86603
4.206253,-0.874624
4.223707,-0.882952
4.24116,-0.891011
4.258613,-0.898798
4.276067,-0.906312
4.29352,-0.91355
4.310973,-0.920509
4.328427,-0.927188
4.34588,-0.933584
4.363333,-0.939696
4.380787,-0.945522
4.39824,-0.95106
4.415693,-0.956308
4.433147,-0.961265
4.4506,-0.965929
4.468053,-0.970298
4.485507,-0.974372
4.50296,-0.97815
4.520413,-0.981629
4.537867,-0.98481
4.55532,-0.98769
4.572773,-0.99027
4.590227,-0.992547
4.60768,-0.994523
4.625133,-0.996196
4.642587,-0.997565
4.66004,-0.99863
4.677493,-0.999391
4.694947,-0.999848
4.7124,-1
4.729853,-0.999848
4.747307,-0.99939
4.76476,-0.998629
4.782213,-0.997563
4.799667,-0.996194
4.81712,-0.994521
4.834573,-0.992545
4.852027,-0.990266
4.86948,-0.987687
4.886933,-0.984806
4.904387,-0.981625
4.92184,-0.978145
4.939293,-0.974367
4.956747,-0.970293
4.9742,-0.965923
4.991653,-0.961258
5.009107,-0.956301
5.02656,-0.951053
5.044013,-0.945515
5.061467,-0.939689
5.07892,-0.933576
5.096373,-0.927179
5.113827,-0.9205
5.13128,-0.913541
5.148733,-0.906303
5.166187,-0.898789
5.18364,-0.891001
5.201093,-0.882942
5.218547,-0.874614
5.236,-0.866019
5.253453,-0.857161
5.270907,-0.848042
5.28836,-0.838664
5.305813,-0.829031
5.323267,-0.819145
5.34072,-0.80901
5.358173,-0.798628
5.375627,-0.788003
5.39308,-0.777138
5.410533,-0.766036
5.427987,-0.754701
5.44544,-0.743136
5.462893,-0.731345
5.480347,-0.719331
5.4978,-0.707098
5.515253,-0.694649
5.532707,-0.681989
5.55016,-0.669121
5.567613,-0.656049
5.585067,-0.642778
5.60252,-0.62931
5.619973,-0.615651
5.637427,-0.601804
5.65488,-0.587775
5.672333,-0.573566
5.689787,-0.559182
5.70724,-0.544628
5.724693,-0.529908
5.742147,-0.515027
5.7596,-0.499988
5.777053,-0.484798
5.794507,-0.46946
5.81196,-0.453978
5.829413,-0.438359
5.846867,-0.422606
5.86432,-0.406724
5.881773,-0.390718
5.899227,-0.374594
5.91668,-0.358355
5.934133,-0.342007
5.951587,-0.325555
5.96904,-0.309004
5.986493,-0.292358
6.003947,-0.275624
6.0214,-0.258805
6.038853,-0.241908
6.056307,-0.224937
6.07376,-0.207898
6.091213,-0.190795
6.108667,-0.173634
6.12612,-0.15642
6.143573,-0.139159
6.161027,-0.121855
6.17848,-0.104514
6.195933,-0.087141
6.213387,-0.069742
6.23084,-0.052321
6.248293,-0.034885
6.265747,-0.017438
6.2832,0.000015
